(0, [24, 'Luca', 'male', 'Stolnici'])
(80, [25, 'Ana', 'female', 'Antonescu'])
(81, [36, 'Anișoara', 'female', 'Mailat'])
(82, [26, 'Larisa', 'female', 'Giulian'])
(83, [20, 'Belma', 'female', 'Nicolau'])
(84, [44, 'Zamfir', 'male', 'Irimescu'])
(85, [35, 'Constantin', 'male', 'Radovici'])
(86, [72, 'Demetra', 'female', 'Košir'])
(87, [21, 'Marioara', 'female', 'Filotti'])
(88, [77, 'Damir', 'male', 'Berindei'])
(89, [38, 'Norbert', 'male', 'Geambașu'])
(90, [18, 'Tanja', 'female', 'Cocea'])
(91, [33, 'Lia', 'female', 'Stoenescu'])
(92, [35, 'Octaviana', 'female', 'Dinescu'])
(93, [19, 'Elvir', 'male', 'Andrieș'])
(94, [30, 'Florica', 'female', 'Rîpă'])
(95, [23, 'Dimitra', 'female', 'Bratu'])
(96, [35, 'Viorica', 'female', 'Țăranu'])
(97, [31, 'Alex', 'male', 'Hočevar'])
(98, [27, 'Elodia', 'female', 'Mitu'])
(99, [40, 'Fahir', 'male', 'Neamțu'])
(100, [25, 'Nejc', 'male', 'Bratu'])
(101, [34, 'Elvira', 'female', 'Matković'])
(102, [43, 'Vesna', 'female', 'Pădurean'])
(103, [20, 'Florentin', 'male', 'Câmpineanu'])
(104, [18, 'Bisera', 'female', 'Mureșanu'])
(105, [25, 'Benone', 'male', 'Sarajlić'])
(106, [40, 'Laurențiu', 'male', 'Gliga'])
(107, [24, 'Loreta', 'female', 'Fătu'])
(108, [22, 'Entela', 'female', 'Știrbei'])
(109, [41, 'Horațiu', 'male', 'Burcă'])
(110, [18, 'Anghelina', 'female', 'Enescu'])
(111, [26, 'Nika', 'female', 'Esinencu'])
(112, [20, 'Doina', 'female', 'Geambașu'])
(113, [36, 'Nicușor', 'male', 'Rusca'])
(114, [43, 'Clementina', 'female', 'Dorobanțu'])
(115, [25, 'Ciprian', 'male', 'Kastelic'])
(116, [21, 'Demetra', 'female', 'Becheru'])
(117, [39, 'Teea', 'female', 'Arnautović'])
(118, [37, 'Armela', 'female', 'Eșanu'])
(119, [34, 'Vasilica', 'female', 'Trifan'])
(120, [18, 'Ștefan', 'male', 'Joldea'])
(121, [35, 'Vesna', 'female', 'Ciortea'])
(122, [24, 'Dora', 'female', 'Zane'])
(123, [46, 'Bakir', 'male', 'Neamțu'])
(124, [33, 'Grațiana', 'female', 'Șelmaru'])
(125, [27, 'Lazăr', 'male', 'Niculescu'])
(126, [18, 'Grigore', 'male', 'Pădurar'])
(127, [20, 'Lia', 'female', 'Frosin'])
(128, [27, 'Milan', 'male', 'Pacepa'])
(129, [23, 'Haralambie', 'male', 'Petrașcu'])
(130, [20, 'Didina', 'female', 'Rotariu'])
(131, [41, 'Nidia', 'female', 'Cucu'])
(132, [20, 'Florica', 'female', 'Malcoci'])
(133, [34, 'Suzana', 'female', 'Pîrvu'])
(134, [41, 'Gregorian', 'male', 'Averescu'])
(135, [40, 'Norbert', 'male', 'Stănescu'])
(136, [42, 'Hamza', 'male', 'Oanca'])
(137, [20, 'Noel', 'male', 'Hurezeanu'])
(138, [49, 'Arina', 'female', 'Chihaia'])
(139, [28, 'Domnica', 'female', 'Slaivici'])
(140, [54, 'Sonia', 'female', 'Petruș'])
(141, [35, 'Fahret', 'male', 'Caranica'])
(142, [22, 'Despina', 'female', 'Bădărău'])
(143, [40, 'Simona', 'female', 'Petruț'])
(144, [59, 'Luka', 'male', 'Mandić'])
(145, [26, 'Octav', 'male', 'Rusu'])
(146, [45, 'Anghelina', 'female', 'Medeleanu'])
(147, [20, 'Tudora', 'female', 'Kralj'])
(148, [32, 'Mihail', 'male', 'Zupančič'])
(149, [32, 'Consuela', 'female', 'Ciocârlan'])
(150, [22, 'Claudiu', 'male', 'Pirc'])
(151, [21, 'Domnica', 'female', 'Goian'])
(152, [19, 'Dorinel', 'male', 'Geaorgescu'])
(153, [22, 'Dorli', 'female', 'Lăcustă'])
(154, [21, 'Belmina', 'female', 'Bercea'])
(155, [76, 'Malvina', 'female', 'Bodnăraș'])
(156, [23, 'Zamfira', 'female', 'Ghideanu'])
(157, [20, 'Beatrice', 'female', 'Irimescu'])
(158, [21, 'Sabin', 'male', 'Văcăroiu'])
(159, [54, 'Tarik', 'male', 'Bonciu'])
(160, [39, 'Minodora', 'female', 'Ornea'])
(161, [24, 'Denis', 'male', 'Preoteasa'])
(162, [70, 'Hajrudin', 'male', 'Mlakar'])
(163, [19, 'Ljiljana', 'female', 'Turcescu'])
(164, [27, 'Darius', 'male', 'Burileanu'])
(165, [53, 'Urška', 'female', 'Rosetti'])
(166, [21, 'Gică', 'male', 'Predescu'])
(167, [34, 'Anton', 'male', 'Celibidache'])
(168, [19, 'Dominic', 'male', 'Neagu'])
(169, [45, 'Jusuf', 'male', 'Josan'])
(170, [20, 'Viorela', 'female', 'Cozma'])
(171, [39, 'Enrik', 'male', 'Vădineanu'])
(172, [36, 'Dan', 'male', 'Pușcaș'])
(173, [22, 'Ruxandra', 'female', 'Baciu'])
(174, [19, 'Constantina', 'female', 'Kolašinac'])
(175, [19, 'Norman', 'male', 'Cernat'])
(176, [54, 'Emil', 'male', 'Preda'])
(177, [58, 'Voicu', 'male', 'Caraciobanu'])
(178, [41, 'Artemisa', 'female', 'Datcu'])
(179, [18, 'Gersi', 'male', 'Cămătaru'])
(180, [25, 'Alojz', 'male', 'Ghinea'])
(181, [31, 'Ionel', 'male', 'Pușcaș'])
(182, [20, 'Filip', 'male', 'Macovei'])
(183, [22, 'Paul', 'male', 'Sirma'])
(184, [32, 'Frusina', 'female', 'Posteucă'])
(185, [44, 'Naida', 'female', 'Toduță'])
(186, [36, 'Simion', 'male', 'Eșanu'])
(187, [19, 'Dochia', 'female', 'Muscă'])
(188, [21, 'Steluța', 'female', 'Bănică'])
(189, [22, 'Blanduzia', 'female', 'Simu'])
(190, [24, 'Adea', 'female', 'Negoiță'])
(191, [21, 'Nechifor', 'male', 'Neamțu'])
(192, [25, 'Dina', 'female', 'Zupan'])
(193, [24, 'Laurențiu', 'male', 'Bădărău'])
(194, [27, 'Emilia', 'female', 'Gurakuqi'])
(195, [41, 'Manole', 'male', 'Pirc'])
(196, [45, 'Emanuela', 'female', 'Buzescu'])
(197, [20, 'Zana', 'female', 'Păcurariu'])
(198, [19, 'Majda', 'female', 'Bărlâdeanu'])
(199, [20, 'Peter', 'male', 'Lucaciu'])
(200, [19, 'Iurie', 'male', 'Vicovean'])
(201, [44, 'Ruxandra', 'female', 'Bărlea'])
(202, [57, 'Roland', 'male', 'Fugaru'])
(203, [61, 'Nadja', 'female', 'Isopescu'])
(204, [25, 'Vladimir', 'male', 'Videanu'])
(205, [19, 'Omar', 'male', 'Moța'])
(206, [37, 'Mona', 'female', 'Brâncoveanu'])
(207, [29, 'Octaviu', 'male', 'Râpeanu'])
(208, [46, 'David', 'male', 'Bădulescu'])
(209, [44, 'Larisa', 'female', 'Ispas'])
(210, [18, 'Laurenția', 'female', 'Bălan'])
(211, [57, 'Severina', 'female', 'Eșanu'])
(212, [20, 'Dženita', 'female', 'Șerbănescu'])
(213, [22, 'Eugenia', 'female', 'Toduță'])
(214, [48, 'Marius', 'male', 'Iliescu'])
(215, [31, 'Albert', 'male', 'Fătu'])
(216, [26, 'Nelu', 'male', 'Butoi'])
(217, [39, 'Lorik', 'male', 'Papacioc'])
(218, [22, 'Ismar', 'male', 'Bogos'])
(219, [22, 'Nika', 'female', 'Băsescu'])
(220, [27, 'Livia', 'female', 'Costea'])
(221, [25, 'Kristina', 'female', 'Vanghelie'])
(222, [20, 'Felicia', 'female', 'Păcurariu'])
(223, [27, 'Gina', 'female', 'Zane'])
(224, [30, 'Carmen', 'female', 'Ceaușescu'])
(225, [18, 'Augustina', 'female', 'Șerbu'])
(226, [37, 'Andrei', 'male', 'Udrea'])
(227, [43, 'Samir', 'male', 'Mlakar'])
(228, [21, 'Lela', 'female', 'Ciortea'])
(229, [26, 'Amalia', 'female', 'Lăzărescu'])
(230, [45, 'Leontina', 'female', 'Cândea'])
(231, [62, 'Bojan', 'male', 'Găitan'])
(232, [74, 'Claudiu', 'male', 'Păturică'])
(233, [29, 'Maximilian', 'male', 'Ornea'])
(234, [18, 'Filip', 'male', 'Agolli'])
(235, [18, 'Neritan', 'male', 'Varo'])
(236, [18, 'Hajrudin', 'male', 'Murgescu'])
(237, [19, 'Codrina', 'female', 'Magheru'])
(238, [45, 'Ludovica', 'female', 'Țepeneag'])
(239, [19, 'Alisa', 'female', 'Lah'])
(240, [58, 'Ina', 'female', 'Moța'])
(241, [33, 'Cedrin', 'male', 'Coteanu'])
(242, [18, 'Marija', 'female', 'Muratović'])
(243, [23, 'Anatolie', 'male', 'Pîrvu'])
(244, [18, 'Tatiana', 'female', 'Bădescu'])
(245, [23, 'Belmina', 'female', 'Benga'])
(246, [44, 'Domnica', 'female', 'Frățilă'])
(247, [33, 'Eliana', 'female', 'Barbu'])
(248, [34, 'Una', 'female', 'Mușat'])
(249, [37, 'Andrada', 'female', 'Leca'])
(250, [27, 'Elodia', 'female', 'Velescu'])
(251, [45, 'Octaviu', 'male', 'Stroici'])
(252, [62, 'Amanda', 'female', 'Pașcanu'])
(253, [35, 'Eusațiu', 'male', 'Goanță'])
(254, [32, 'Claudia', 'female', 'Lucan'])
(255, [23, 'Antonie', 'male', 'Poenaru'])
(256, [27, 'Venera', 'female', 'Leka'])
(257, [45, 'Anton', 'male', 'Grigoriu'])
(258, [19, 'Octavia', 'female', 'Baciu'])
(259, [37, 'Dario', 'male', 'Bărlea'])
(260, [19, 'Roxana', 'female', 'Șteflea'])
(261, [20, 'Sorana', 'female', 'Stroici'])
(262, [24, 'Zaharia', 'female', 'Lupescu'])
(263, [19, 'Vasilica', 'female', 'Pop'])
(264, [27, 'Leontina', 'female', 'Chebac'])
(265, [31, 'Viorel', 'male', 'Bodnăraș'])
(266, [52, 'Anda', 'female', 'Cioacă'])
(267, [21, 'Dorian', 'male', 'Hočevar'])
(268, [33, 'Letiția', 'female', 'Sechelariu'])
(269, [40, 'Norbert', 'male', 'Vîlcu'])
(270, [81, 'Dan', 'male', 'Captaru'])
(271, [18, 'Theodor', 'male', 'Becali'])
(272, [28, 'Cosmina', 'female', 'Kolašinac'])
(273, [18, 'Anca', 'female', 'Dobrin'])
(274, [85, 'Xenia', 'female', 'Myftiu'])
(275, [19, 'Salomea', 'female', 'Armășescu'])
(276, [25, 'Elma', 'female', 'Mutapčić'])
(277, [21, 'Jan', 'male', 'Djuvara'])
(278, [19, 'Alin', 'male', 'Geambașu'])
(279, [22, 'David', 'male', 'Edeleanu'])
(280, [21, 'Irena', 'female', 'Miclea'])
(281, [22, 'Iulian', 'male', 'Demiri'])
(282, [35, 'Darja', 'female', 'Brediceanu'])
(283, [59, 'Dorin', 'male', 'Guțu'])
(284, [21, 'Cristofor', 'male', 'Koroman'])
(285, [22, 'Besa', 'female', 'Lupu'])
(286, [34, 'Mihnea', 'male', 'Huniade'])
(287, [19, 'Nenad', 'male', 'Bujor'])
(288, [41, 'Crin', 'male', 'Finiti'])
(289, [96, 'Codruța', 'female', 'Buia'])
(290, [32, 'Dorin', 'male', 'Dediu'])
(291, [33, 'Lana', 'female', 'Becali'])
(292, [71, 'Crenguța', 'female', 'Ciorioianu'])
(293, [60, 'Natasa', 'female', 'Papacioc'])
(294, [18, 'Admir', 'male', 'Čorbadžić'])
(295, [22, 'Florentina', 'female', 'Bogza'])
(296, [61, 'Lia', 'female', 'Bilașco'])
(297, [32, 'Arnela', 'female', 'Petrescu'])
(298, [21, 'Danica', 'female', 'Ciupe'])
(299, [33, 'Geta', 'female', 'Popovici'])
(300, [43, 'Visarion', 'male', 'Catargi'])
(301, [52, 'Haralambie', 'male', 'Josan'])
(302, [47, 'Artemisa', 'female', 'Vădineanu'])
(303, [33, 'Adnan', 'male', 'Onciu'])
(304, [34, 'Tincuța', 'female', 'Albulescu'])
(305, [21, 'Mirko', 'male', 'Cadanțu'])
(306, [19, 'Eduard', 'male', 'Alečković'])
(307, [20, 'Ilarie', 'male', 'Săvescu'])
(308, [31, 'Danko', 'male', 'Demirović'])
(309, [36, 'Željko', 'male', 'Kavčič'])
(310, [21, 'Grațiana', 'female', 'Niculescu'])
(311, [43, 'Branka', 'female', 'Manicatide'])
(312, [27, 'Jožefa', 'female', 'Uglar'])
(313, [55, 'Anita', 'female', 'Duro'])
(314, [33, 'Bianca', 'female', 'Udrea'])
(315, [46, 'Andreja', 'female', 'Lipatti'])
(316, [36, 'Ștefana', 'female', 'Čengić'])
(317, [46, 'Floriana', 'female', 'Ispas'])
(318, [20, 'Glen', 'male', 'Datcu'])
(319, [19, 'Aristița', 'female', 'Cucu'])
(320, [27, 'Estera', 'female', 'Bădescu'])
(321, [18, 'Azra', 'female', 'Arnăutu'])
(322, [20, 'Voicu', 'male', 'Hoxha'])
(323, [23, 'Laura', 'female', 'Timică'])
(324, [31, 'Eric', 'male', 'David'])
(325, [18, 'Bisera', 'female', 'Bîrlea'])
(326, [35, 'Nechifor', 'male', 'Corvin'])
(327, [18, 'Gică', 'male', 'Chirnoagă'])
(328, [25, 'Neritan', 'male', 'Gliga'])
(329, [20, 'Luca', 'male', 'Hodoș'])
(330, [28, 'Leontina', 'female', 'Cazan'])
(331, [31, 'Hana', 'female', 'Videanu'])
(332, [30, 'Haralambie', 'male', 'Bunea'])
(333, [71, 'Cazimir', 'male', 'Găină'])
(334, [21, 'Ariadna', 'female', 'Stolnici'])
(335, [38, 'Dimitra', 'female', 'Strătilescu'])
(336, [32, 'Andrej', 'male', 'Iaru'])
(337, [22, 'Steluța', 'female', 'Armășescu'])
(338, [18, 'Corina', 'female', 'Jebeleanu'])
(339, [22, 'Ioana', 'female', 'Bădărău'])
(340, [44, 'Iosif', 'male', 'Călugăreanu'])
(341, [30, 'Veniamin', 'male', 'Ekmečić'])
(342, [32, 'Georgiana', 'female', 'Crețu'])
(343, [36, 'Gregorian', 'male', 'Lupescu'])
(344, [18, 'Liviu', 'male', 'Hoxha'])
(345, [21, 'Vasile', 'male', 'Toneanu'])
(346, [22, 'Eduard', 'male', 'Lobonț'])
(347, [25, 'Branko', 'male', 'Caraciobanu'])
(348, [22, 'Samra', 'female', 'Ungur'])
(349, [20, 'Panagachie', 'male', 'Udilă'])
(350, [30, 'Dijana', 'female', 'Păcurariu'])
(351, [20, 'Fiodor', 'male', 'Păunescu'])
(352, [25, 'Emanuil', 'male', 'Paleru'])
(353, [27, 'Mihail', 'male', 'Romanescu'])
(354, [19, 'Bekir', 'male', 'Oancea'])
(355, [49, 'Elena', 'female', 'Budescu'])
(356, [48, 'Dalia', 'female', 'Partoș'])
(357, [22, 'Constantina', 'female', 'Becheru'])
(358, [31, 'Kenan', 'male', 'Bodescu'])
(359, [40, 'Varvara', 'female', 'Dorobanțu'])
(360, [22, 'Mojca', 'female', 'Neculce'])
(361, [20, 'Ionel', 'male', 'Dobrescu'])
(362, [19, 'Ana', 'female', 'Lupea'])
(363, [21, 'Jožica', 'female', 'Finiti'])
(364, [26, 'Eliza', 'female', 'Caramitru'])
(365, [20, 'Miruna', 'female', 'Stolnici'])
(366, [18, 'Sandu', 'male', 'Caranfil'])
(367, [35, 'Rafel', 'male', 'Sadoveanu'])
(368, [19, 'Mirza', 'male', 'Pogor'])
(369, [21, 'Melania', 'female', 'Lascu'])
(370, [45, 'Iustina', 'female', 'Holda'])
(371, [21, 'Octaviana', 'female', 'Cioran'])
(372, [18, 'Blaž', 'male', 'Simu'])
(373, [22, 'Patricia', 'female', 'Ciorioianu'])
(374, [38, 'Adea', 'female', 'Armășescu'])
(375, [56, 'Celia', 'female', 'Călinescu'])
(376, [18, 'Irfan', 'male', 'Păturică'])
(377, [32, 'Cătălina', 'female', 'Pirc'])
(378, [24, 'Eldin', 'male', 'Caranfil'])
(379, [34, 'Avram', 'male', 'Greceanu'])
(380, [22, 'Haralambie', 'male', 'Văduva'])
(381, [40, 'Octavian', 'male', 'Seciu'])
(382, [59, 'Aleodor', 'male', 'Mehmedbašić'])
(383, [44, 'Entela', 'female', 'Tudose'])
(384, [28, 'Julia', 'female', 'Cioabă'])
(385, [36, 'Vlad', 'male', 'Varo'])
(386, [21, 'Azema', 'female', 'Bădărău'])
(387, [41, 'Eduard', 'male', 'Šarić'])
(388, [21, 'Eugen', 'male', 'Žagar'])
(389, [23, 'Domnica', 'female', 'Kovač'])
(390, [18, 'Rozalia', 'female', 'Tutoveanu'])
(391, [70, 'Neven', 'male', 'Ciorbea'])
(392, [69, 'Traian', 'male', 'Brașoveanu'])
(393, [35, 'Mirko', 'male', 'Sîrghie'])
(394, [81, 'Mateo', 'male', 'Teodorașcu'])
(395, [41, 'David', 'male', 'Săceanu'])
(396, [32, 'Nikolina', 'female', 'Celibidache'])
(397, [19, 'Alenka', 'female', 'Morar'])
(398, [23, 'Sorina', 'female', 'Blănculescu'])
(399, [58, 'Darko', 'male', 'Enache'])
(400, [93, 'Gianina', 'female', 'Hanu'])
(401, [45, 'Ferdinand', 'male', 'Onciu'])
(402, [24, 'Mitja', 'male', 'Petek'])
(403, [39, 'Teofil', 'male', 'Dervishi'])
(404, [32, 'Dorina', 'female', 'Gălățanu'])
(405, [37, 'Carla', 'female', 'Blănculescu'])
(406, [34, 'Dijana', 'female', 'Mihăiță'])
(407, [49, 'Despina', 'female', 'Todea'])
(408, [31, 'Zaharia', 'female', 'Șteflea'])
(409, [20, 'Florența', 'female', 'Bonciu'])
(410, [49, 'Milla', 'female', 'Mureșan'])
(411, [21, 'Azra', 'female', 'Coteanu'])
(412, [35, 'Amra', 'female', 'Sorescu'])
(413, [23, 'Nadja', 'female', 'Maican'])
(414, [22, 'Gabriela', 'female', 'Racoți'])
(415, [22, 'Emil', 'male', 'Râpeanu'])
(416, [26, 'Marcu', 'male', 'Medved'])
(417, [24, 'Nae', 'male', 'Hodorogea'])
(418, [28, 'Ionel', 'male', 'Pâslaru'])
(419, [20, 'Cecilia', 'female', 'Hurezeanu'])
(420, [38, 'Sabrina', 'female', 'Edeleanu'])
(421, [20, 'Marko', 'male', 'Geaorgescu'])
(422, [59, 'Adam', 'male', 'Zane'])
(423, [72, 'Leopoldina', 'female', 'Proca'])
(424, [24, 'Rareș', 'male', 'Câmpeanu'])
(425, [20, 'Nedzad', 'male', 'Kotnik'])
(426, [22, 'Dorin', 'male', 'Zuhrić'])
(427, [35, 'Julia', 'female', 'Arghezi'])
(428, [18, 'Viviana', 'female', 'Ornea'])
(429, [20, 'Cătălina', 'female', 'Dolha'])
(430, [39, 'Ermir', 'male', 'Lah'])
(431, [18, 'Lejla', 'female', 'Aman'])
(432, [37, 'Mersiha', 'female', 'Deac'])
(433, [25, 'Dario', 'male', 'Chirnoagă'])
(434, [23, 'Iustina', 'female', 'Pușcaș'])
(435, [25, 'Laurenția', 'female', 'Goma'])
(436, [84, 'Una', 'female', 'Košir'])
(437, [27, 'Theodor', 'male', 'Golob'])
(438, [20, 'Dorinel', 'male', 'Câmpeanu'])
(439, [31, 'Adela', 'female', 'Pădurar'])
(440, [19, 'Fabia', 'female', 'Movilă'])
(441, [23, 'Simon', 'male', 'Cocea'])
(442, [49, 'Olimpiu', 'male', 'Pâslaru'])
(443, [41, 'Constantin', 'male', 'Turcdeanu'])
(444, [21, 'Milan', 'male', 'Petrescu'])
(445, [43, 'Casanda', 'female', 'Pârvulescu'])
(446, [19, 'Azema', 'female', 'Dinicu'])
(447, [20, 'Vicenția', 'female', 'Ionescu'])
(448, [30, 'Livia', 'female', 'Holda'])
(449, [24, 'Niculiță', 'male', 'Bârcianu'])
(450, [18, 'Voichița', 'female', 'Neagu'])
(451, [22, 'Kemal', 'male', 'Laurian'])
(452, [67, 'Natasa', 'female', 'Lepădatu'])
(453, [39, 'Roxelana', 'female', 'Timică'])
(454, [18, 'Sever', 'male', 'Bercu'])
(455, [55, 'Carina', 'female', 'Proca'])
(456, [34, 'Violeta', 'female', 'Divjak'])
(457, [48, 'Amedeu', 'male', 'Petek'])
(458, [28, 'Ioan', 'male', 'Ciorioianu'])
(459, [26, 'Nina', 'female', 'Dogaru'])
(460, [36, 'Nechifor', 'male', 'Duro'])
(461, [25, 'Nika', 'female', 'Almaș'])
(462, [23, 'Liliana', 'female', 'Pirc'])
(463, [20, 'Xenia', 'female', 'Frashëri'])
(464, [20, 'Simina', 'female', 'Almaș'])
(465, [21, 'Mia', 'female', 'Cernescu'])
(466, [49, 'Zaraza', 'female', 'Costea'])
(467, [64, 'Paulina', 'female', 'Geaorgescu'])
(468, [41, 'Julieta', 'female', 'Dogaru'])
(469, [46, 'Naida', 'female', 'Demetrescu'])
(470, [20, 'Silvia', 'female', 'Tămaș'])
(471, [18, 'Mujo', 'male', 'Firulescu'])
(472, [21, 'Cosmina', 'female', 'Dervishi'])
(473, [19, 'Anatolie', 'male', 'Măgurean'])
(474, [22, 'Adriana', 'female', 'Kodra'])
(475, [50, 'Horațiu', 'male', 'Lăzărescu'])
(476, [28, 'Fahro', 'male', 'Gligor'])
(477, [19, 'Cristobal', 'male', 'Baciu'])
(478, [40, 'Mugurel', 'male', 'Săvescu'])
(479, [29, 'Georgel', 'male', 'Muratović'])
(480, [32, 'Haralamb', 'male', 'Filotti'])
(481, [87, 'Catinca', 'female', 'Văcăroiu'])
(482, [26, 'Corina', 'female', 'Săulescu'])
(483, [25, 'Filofteia', 'female', 'Lovinescu'])
(484, [90, 'Ovidiu', 'male', 'Firulescu'])
(485, [33, 'Lorelei', 'female', 'Budeanu'])
(486, [27, 'Ismar', 'male', 'Pădurar'])
(487, [26, 'Sabina', 'female', 'Mazilu'])
(488, [24, 'Silvian', 'male', 'Zupančič'])
(489, [25, 'Tudora', 'female', 'Bodnăraș'])
(490, [29, 'Jeana', 'female', 'Salihović'])
(491, [21, 'Sebastian', 'male', 'Puiu'])
(492, [21, 'Ada', 'female', 'Stoenescu'])
(493, [23, 'Flaviu', 'male', 'Krajnc'])
(494, [46, 'Marko', 'male', 'Hrovat'])
(495, [20, 'Maximilian', 'male', 'Gojdu'])
(496, [32, 'Fiodor', 'male', 'Văleanu'])
(497, [19, 'Matei', 'male', 'Bălan'])
(498, [27, 'Sinică', 'male', 'Isopescu'])
(499, [18, 'Octaviu', 'male', 'Bălceanu'])
(500, [19, 'Vicenția', 'female', 'Bălan'])
(501, [26, 'Boris', 'male', 'Săulescu'])
(502, [19, 'Manole', 'male', 'Neagu'])
(503, [65, 'Andra', 'female', 'Gherghel'])
(504, [48, 'Violeta', 'female', 'Dolha'])
(505, [26, 'Urška', 'female', 'Răceanu'])
(506, [34, 'Lelia', 'female', 'Șerb'])
(507, [35, 'Estera', 'female', 'Esinencu'])
(508, [22, 'Sidonia', 'female', 'Stoenescu'])
(509, [20, 'Leopoldina', 'female', 'Deac'])
(510, [43, 'Steluța', 'female', 'Buzoianu'])
(511, [20, 'Albana', 'female', 'Chirnoagă'])
(512, [28, 'Neritan', 'male', 'Strătilescu'])
(513, [39, 'Gențiana', 'female', 'Frățilă'])
(514, [50, 'Valentina', 'female', 'Odobescu'])
(515, [22, 'Ludovica', 'female', 'Kolašinac'])
(516, [22, 'Octav', 'male', 'Urziceanu'])
(517, [80, 'Gabi', 'male', 'Čejvan'])
(518, [18, 'Dinka', 'female', 'Adamescu'])
(519, [45, 'Consuela', 'female', 'Braghiș'])
(520, [25, 'Lascăr', 'male', 'Gjoni'])
(521, [26, 'Viviana', 'female', 'Caranica'])
